desc
Attractions; Museums and art galleries
Attractions; Theatre
Attractions; Comedy club
Amenity; Bandstand
Governance; Civic
"Social facility; Government, homeless services"
Business and commerce; QUANGO
Governance; Defence agencies
Governance; General public
Buildings; Government transport agencies
Outdoors and natural environment; Nature reserve
Buildings; Childcare
Buildings; Nurseries and kindergartens
University; Observatory
Industry; Industrial estate
Business and commerce; Office
Business and commerce; Business park
Retail; Off-licence
Healthcare; Optician
Amenity; Free library
Retail; Bookshop
Retail; Arts and crafts
"Retail; Games, music and video"
Retail; Erotic and adult
Retail; Gifts and souvenir
Retail; Hobbies and skills development
Retail; Speciality and luxury goods
Retail
Attractions; Stripclubs and erotic dancing
Attractions; Sex industry
Attractions; Sauna
Retail; Baby care and maternity
Amenity; Parking
Amenity; Bicycle parking
Amenity; Boat mooring
Amenity; Park
Amenity; Dog walking park
Healthcare; Pharmacy
Amenity; Piers and boardwalks
Sports and games; Indoor playground
Sports and games; Outdoor playground
"Governance; Police agencies, offices and headquarters"
Buildings; Transport police
Governance; Police stations
Buildings; Political offices
Amenity; Post box
Logistics; Post office
Electricity network; Line (overhead)
Electricity network; Cable (underground)
Electricity network; Pole
Electricity network; Tower
Electricity network; Distribution cabinet
Electricity network; Substation
Electricity generation; Power plant
Amenity; Street art or art installation
Amenity; Water point
Amenity; Clock
Amenity; Information board
Amenity; Public telephone or telephone box
Amenity; Emergency phone
Amenity; Public toilets
Manufacturing; Bookbinder
Business and commerce; Publishing
Traffic management; Switches and signalling
Social facility; Resident's associations and housing co-operatives
Business and commerce; Letting and estate agents
Business and commerce; Property management and maintenance
Waste management; Recycling centre
Waste management; Scrap yard and materials recovery
Governance; Registry
Religious sites and buildings; Place of worship
Religious sites and buildings; Convents and monasteries
Religious sites and buildings
Trades and services; Home removal
Buildings; Removal
Business and commerce; Research and development
Business and commerce; Architects and urban planners
Business and commerce; Architect
Business and commerce; Consultancy
Buildings; Research
Water; Reservoir
Outdoors and natural environment; Residential gardens
Residential; Apartments
Amenity; Garages and sheds
Residential; Houses
Residential
Residential; Student accomodation
Residential; School house
Business and commerce; Online retailer
Business and commerce; Retail conglomerate
Water; Rivers and burns
Traffic management; Navigation aids and landing lights
Traffic management; Signage
Transport infrastructure; Trunk road
Transport infrastructure; Rail line
Transport infrastructure; Motorway
Transport infrastructure; Primary Road
Transport infrastructure; Pathway
Transport infrastructure; Secondary road
Transport infrastructure; Track
Transport infrastructure; Service access
Transport infrastructure; Unclassified road
Transport infrastructure; Passing place
Transport infrastructure; Cycle path
Transport infrastructure; Residential road
Transport infrastructure; Tertiary road
School; Primary
School
School; Junior
School; Secondary
Outdoors and natural environment; Tidal range and coastline
Business and commerce; Safety and security
Retail; Safety and security
Trades and services; Safety and security
Trades and services; Storage facility
Amenity; Self-service parcel locker
Healthcare; Sexual health and family planning
Retail; Shopping centre
Business and commerce; Retail park
Food retail; Bakery
Food retail; Convenience store
Food retail; Confectionery
Food retail; Butcher
Food retail; Fish and wholesale
Food retail; Greengrocer
Food retail; Cheesemonger
Food retail; Patisserie and speciality cakes
Food retail; Speciality and luxury goods
Food retail; Health
Social facility
"Social facility; Government, social care / work"
Retail; Sports and outdoor
Sports and games; Clubhouse (water sports)
Sports and games; Clubhouse
Attractions; Boathouse
Sports and games; Indoor facility (climbing)
Sports and games; Indoor facility
Sports and games; Activity centre
"Sports and games; Gyms & sport, fitness and leisure centres"
Sports and games; Swimming pool
"Gyms & sport, fitness and leisure centres"
Sports and games; Outdoor solid facility
Sports and games; Clubhouse and outdoor facility
Sports and games; Clubhouse and facilities
Sports and games; Clubhouse and outdoor solid facility
Sports and games; Outdoor facility
Sports and games; Recreation ground
Sports and games; Fitness stations and outdoor gyms
Sports and games; Clubhouse and outdoor facility (golf)
Outdoors and natural environment; Spring (water)
Sports and games; Horse stables and paddocks
Sports and games; Horse riding centres
Water; Detention and retention basins
Amenity; Street lamp
Amenity; Flood defence
Food retail; Supermarket
Retail; Market
Amenity; Surveillance camera or CCTV
Hospitality; Fast food and takeaways
Public transport; Taxi rank
Telecommunications; Exchange
Telecommunications; Telephone exchanges
Transport infrastructure; Check points and weighbridges
Amenity; Toll booth
Business and commerce; Tourist information offices and tourist boards
Traffic management; Calming
Traffic management; Speed camera
Historic; Railway station or platform
Training; Private tuition (children)
Training; Occupational and networking
Training; Occupational
Public transport; Tram stop
Buildings; Lighthouse
Logistics; Administrative office
Public transport; Taxi office
Traffic management; Control centre
Buildings; Lighthouses
Business and commerce; Transport operator offices
Business and commerce; Travel agency
Transport infrastructure; Passageways and tunnels through buildings
Transport infrastructure; Tunnel
Social facility; Trade and labour unions
Trades and services; Electrician
Trades and services; Plumbing and HVAC
Buildings; Depots
"Transport infrastructure; Rail depots, yards and sidings"
Vehicles; Depot
Amenity; Fuel station
Amenity; Car wash
Vehicles; Maintenance and repair
Vehicles; Rental
Amenity; Bike rental point
Vehicles; Car share
Animal; Veterinarian
Waste management; Sorting facility
Buildings; Pumping station
Wastewater; Sanitary dump
Wastewater; Treatment works and facilities
Utilities office; Water
Water; Storage tower
Outdoors and natural environment; Wetland
Retail; Wholesale
Industry; Builders merchant
Retail; Industry bulk goods
Attractions; Zoological garden
"Airbase (Aerodrome, terminal and gates)"
Airbase (Infrastructure)
"Major airport; Aerodrome, terminal and gates (Building outline)"
"Transport infrastructure; Major airport apron, runways and taxiways"
Major airport
Sports and games; Golf
Public transport; Rail station (Major)
Public transport; Rail station (Minor)
Attractions; Visitor centre
Traffic crossings; Unspecified
Gas provider offices
Industry; Harbour
Historic; Unspecified
Food production and horticulture; Manufacturing
Manufacturing; IT hardware
Industry; Unspecified
Business and commerce; Unspecified
Governance; Parliamentary buildings
Transport infrastructure; Tram line
"Transport infrastructure; Light & heavy rail depots, yards and sidings"
Buildings; Prison and offenders institutes
Waterway; Aquaducts and viaducts
Residential; Traveller
Vehicles; Pound
Social facility; Supported housing (social)
